batch_size,epoch,rank,batch,fwd_start, fwd_data_rcvd, fwd_calc_done, fwd_end, bwd_start, bwd_data_rcvd, bwd_calc_done, bwd_end, opt_start, opt_end
512, 0, 1, 49, 1590992171.742, 1590992172.105, 1590992172.106, 1590992172.107, 1590992173.553, 1590992173.816, 1590992173.821, 1590992173.821, 1590992173.822, 1590992174.102
512, 0, 1, 50, 1590992172.559, 1590992172.93, 1590992172.931, 1590992172.931, 1590992174.236, 1590992174.634, 1590992174.639, 1590992174.639, 1590992174.64, 1590992174.641
512, 0, 1, 51, 1590992173.517, 1590992173.517, 1590992173.518, 1590992173.518, 1590992174.936, 1590992175.176, 1590992175.182, 1590992175.182, 1590992175.475, 1590992175.476
512, 0, 1, 52, 1590992174.102, 1590992174.199, 1590992174.2, 1590992174.2, 1590992180.605, 1590992180.605, 1590992180.611, 1590992180.611, 1590992180.612, 1590992181.015
512, 0, 1, 53, 1590992174.641, 1590992174.935, 1590992174.935, 1590992174.936, 1590992181.146, 1590992181.347, 1590992181.351, 1590992181.351, 1590992181.351, 1590992181.642
512, 0, 1, 54, 1590992175.476, 1590992180.51, 1590992180.511, 1590992180.511, 1590992181.79, 1590992182.036, 1590992182.043, 1590992182.043, 1590992182.043, 1590992182.044
512, 0, 1, 55, 1590992181.015, 1590992181.015, 1590992181.016, 1590992181.016, 1590992182.561, 1590992182.801, 1590992182.808, 1590992182.808, 1590992183.025, 1590992183.025
512, 0, 1, 56, 1590992181.642, 1590992181.644, 1590992181.645, 1590992181.645, 1590992183.231, 1590992183.487, 1590992183.494, 1590992183.494, 1590992183.495, 1590992183.495
512, 0, 1, 57, 1590992182.044, 1590992182.299, 1590992182.3, 1590992182.3, 1590992183.944, 1590992184.276, 1590992184.283, 1590992184.283, 1590992184.529, 1590992184.53
512, 0, 1, 58, 1590992183.025, 1590992183.072, 1590992183.073, 1590992183.073, 1590992184.815, 1590992184.851, 1590992184.857, 1590992184.857, 1590992185.11, 1590992185.142
512, 0, 1, 59, 1590992183.495, 1590992183.789, 1590992183.79, 1590992183.79, 1590992185.309, 1590992185.538, 1590992185.544, 1590992185.544, 1590992185.828, 1590992185.828
512, 0, 1, 60, 1590992184.53, 1590992184.566, 1590992184.567, 1590992184.567, 1590992185.992, 1590992186.336, 1590992186.43, 1590992186.43, 1590992186.535, 1590992186.536
512, 0, 1, 61, 1590992185.142, 1590992185.142, 1590992185.143, 1590992185.143, 1590992186.713, 1590992186.905, 1590992186.911, 1590992186.911, 1590992187.095, 1590992187.096
512, 0, 1, 62, 1590992185.828, 1590992185.84, 1590992185.84, 1590992185.84, 1590992190.805, 1590992190.805, 1590992190.812, 1590992190.812, 1590992191.106, 1590992191.107
512, 0, 1, 63, 1590992186.536, 1590992186.536, 1590992186.537, 1590992186.537, 1590992191.291, 1590992191.535, 1590992191.542, 1590992191.542, 1590992191.542, 1590992191.88
512, 0, 1, 64, 1590992187.096, 1590992190.695, 1590992190.696, 1590992190.696, 1590992192.04, 1590992192.273, 1590992192.281, 1590992192.281, 1590992192.282, 1590992192.283
512, 0, 1, 65, 1590992191.107, 1590992191.107, 1590992191.108, 1590992191.109, 1590992192.283, 1590992192.776, 1590992192.782, 1590992192.782, 1590992192.982, 1590992192.983
512, 0, 1, 66, 1590992191.881, 1590992191.888, 1590992191.889, 1590992191.889, 1590992192.983, 1590992193.215, 1590992193.22, 1590992193.22, 1590992193.22, 1590992193.377
512, 0, 2, 0, 1590992103.944, 1590992116.742, 1590992120.138, 1590992120.138, 1590992120.451, 1590992120.993, 1590992124.655, 1590992124.655, 1590992124.752, 1590992124.753
512, 0, 2, 1, 1590992120.138, 1590992120.138, 1590992120.266, 1590992120.266, 1590992124.95, 1590992124.95, 1590992124.972, 1590992124.972, 1590992124.973, 1590992124.974
512, 0, 2, 2, 1590992124.753, 1590992124.753, 1590992124.754, 1590992124.755, 1590992127.239, 1590992127.239, 1590992127.253, 1590992127.253, 1590992127.471, 1590992127.472
512, 0, 2, 3, 1590992124.974, 1590992126.986, 1590992126.99, 1590992127.001, 1590992128.462, 1590992128.462, 1590992128.477, 1590992128.478, 1590992128.727, 1590992128.728
512, 0, 2, 4, 1590992127.472, 1590992128.207, 1590992128.212, 1590992128.212, 1590992128.734, 1590992129.102, 1590992129.109, 1590992129.109, 1590992129.448, 1590992129.449
512, 0, 2, 5, 1590992128.728, 1590992128.728, 1590992128.733, 1590992128.733, 1590992129.725, 1590992129.725, 1590992129.733, 1590992129.733, 1590992129.976, 1590992129.978
512, 0, 2, 6, 1590992129.449, 1590992129.449, 1590992129.453, 1590992129.453, 1590992130.462, 1590992130.462, 1590992130.476, 1590992130.476, 1590992130.477, 1590992130.718
512, 0, 2, 7, 1590992129.978, 1590992130.225, 1590992130.23, 1590992130.23, 1590992131.135, 1590992131.136, 1590992131.143, 1590992131.143, 1590992131.143, 1590992131.361
512, 0, 2, 8, 1590992130.718, 1590992130.764, 1590992130.768, 1590992130.768, 1590992131.79, 1590992131.937, 1590992131.944, 1590992131.944, 1590992132.178, 1590992132.18
512, 0, 2, 9, 1590992131.361, 1590992131.593, 1590992131.598, 1590992131.598, 1590992132.511, 1590992132.521, 1590992132.543, 1590992132.543, 1590992132.745, 1590992132.747
512, 0, 2, 10, 1590992132.18, 1590992132.253, 1590992132.257, 1590992132.257, 1590992133.266, 1590992133.266, 1590992133.281, 1590992133.281, 1590992133.282, 1590992133.283
512, 0, 2, 11, 1590992132.747, 1590992133.086, 1590992133.09, 1590992133.09, 1590992134.083, 1590992134.083, 1590992134.092, 1590992134.092, 1590992134.403, 1590992134.405
